,Algorithm,b,k,Recall,MAP,nDCG,P@5
120,bm25,0.5,1.0,0.04759403235973944,0.3295,0.51566,0.66747
121,bm25,0.5,1.2,0.047479416989818335,0.32749,0.51526,0.66306
122,bm25,0.5,1.4,0.04724063496914936,0.32522,0.51389,0.65826
123,bm25,0.5,1.6,0.04692544270186632,0.322,0.51091,0.65405
124,bm25,0.5,1.8,0.04666755811954383,0.31906,0.50882,0.64925
125,bm25,0.5,2.0,0.046333263290607274,0.31602,0.50626,0.64565
126,bm25,0.5,2.2,0.04617089151655237,0.31433,0.50472,0.64284
127,bm25,0.5,2.4,0.04594166077671016,0.31215,0.50295,0.63924
128,bm25,0.5,2.6,0.045636019790253876,0.30976,0.50105,0.63504
129,bm25,0.5,2.8,0.045444994173718695,0.30777,0.49954,0.63203
130,bm25,0.5,3.0,0.04519666087222297,0.30579,0.49809,0.62983
131,bm25,0.5,4.0,0.04392634052226404,0.29501,0.48907,0.61842
132,bm25,0.5,4.5,0.04348698160423313,0.29059,0.48452,0.61241
133,bm25,0.5,5.0,0.04295210987793463,0.28602,0.48002,0.60661
134,bm25,0.5,5.5,0.04253185352155724,0.28216,0.47636,0.6004
135,bm25,0.5,6.0,0.04207339204187281,0.27806,0.47298,0.59399
136,bm25,0.5,6.5,0.04169134080880246,0.2749,0.46994,0.59099
137,bm25,0.5,7.0,0.04133794341821238,0.27213,0.46703,0.58859
138,bm25,0.6,0.0,0.015730959521671858,0.09146,0.16014,0.2014
139,bm25,0.6,0.2,0.047871019503715445,0.33234,0.51483,0.67067
140,bm25,0.6,0.4,0.04789967334619572,0.33238,0.51544,0.67087
141,bm25,0.6,0.6,0.047918775907849244,0.33278,0.51688,0.67207
142,bm25,0.6,0.8,0.04785191694206193,0.33203,0.51761,0.67207
143,bm25,0.6,1.0,0.04758448107891268,0.32958,0.51541,0.66727
144,bm25,0.6,1.2,0.047488968270645096,0.3276,0.51508,0.66306
145,bm25,0.6,1.4,0.04724063496914936,0.32531,0.51389,0.65866
146,bm25,0.6,1.6,0.046992301667653634,0.32225,0.51105,0.65385
147,bm25,0.6,1.8,0.04667710940037059,0.31912,0.50857,0.64925
148,bm25,0.6,2.0,0.046333263290607274,0.316,0.5062,0.64565
149,bm25,0.6,2.2,0.046199545359032645,0.31448,0.50482,0.64264
150,bm25,0.6,2.4,0.04596076333836367,0.312,0.50298,0.63924
151,bm25,0.6,2.6,0.04566467363273415,0.30981,0.50104,0.63544
152,bm25,0.6,2.8,0.04542589161206518,0.30786,0.49938,0.63223
153,bm25,0.6,3.0,0.04521576343387648,0.30597,0.49811,0.63003
154,bm25,0.6,4.0,0.04396454564557107,0.29513,0.48911,0.61842
155,bm25,0.6,4.5,0.043496532885059884,0.29066,0.48447,0.61261
156,bm25,0.6,5.0,0.04295210987793463,0.28611,0.48004,0.60701
157,bm25,0.6,5.5,0.04251275095990372,0.28223,0.47628,0.6012
158,bm25,0.6,6.0,0.04206384076104606,0.27827,0.47296,0.5954
159,bm25,0.6,6.5,0.0416817895279757,0.27503,0.46992,0.59139
160,bm25,0.6,7.0,0.04133794341821238,0.27223,0.46684,0.58799
161,bm25,0.7,0.0,0.015730959521671858,0.09146,0.16014,0.2014
162,bm25,0.7,0.2,0.04789967334619572,0.33248,0.51493,0.67107
163,bm25,0.7,0.4,0.047918775907849244,0.33246,0.51551,0.67147
164,bm25,0.7,0.6,0.04793787846950276,0.33281,0.51694,0.67207
165,bm25,0.7,0.8,0.04784236566123517,0.33202,0.51732,0.67167
166,bm25,0.7,1.0,0.04759403235973944,0.32969,0.5153,0.66727
167,bm25,0.7,1.2,0.047469865708991574,0.32758,0.51485,0.66346
168,bm25,0.7,1.4,0.04725018624997612,0.32536,0.51388,0.65886
169,bm25,0.7,1.6,0.04701140422930715,0.3224,0.51115,0.65465
170,bm25,0.7,1.8,0.04671531452367762,0.31935,0.50874,0.64945
171,bm25,0.7,2.0,0.04639057097556783,0.31637,0.50648,0.64565
172,bm25,0.7,2.2,0.04622819920151292,0.31454,0.50494,0.64244
173,bm25,0.7,2.4,0.04597031461919043,0.31202,0.503,0.63864
174,bm25,0.7,2.6,0.04569332747521443,0.30986,0.50114,0.63564
175,bm25,0.7,2.8,0.04542589161206518,0.30783,0.4993,0.63223
176,bm25,0.7,3.0,0.045225314714703244,0.30611,0.49813,0.63023
177,bm25,0.7,4.0,0.04401230204970487,0.29525,0.48907,0.61842
178,bm25,0.7,4.5,0.04353473800836692,0.29087,0.48461,0.61281
179,bm25,0.7,5.0,0.04295210987793463,0.28624,0.48001,0.60681
180,bm25,0.7,5.5,0.04252230224073048,0.28226,0.47623,0.601
181,bm25,0.7,6.0,0.042092494603526334,0.27829,0.47282,0.5954
182,bm25,0.7,6.5,0.0416817895279757,0.27526,0.46985,0.59159
183,bm25,0.7,7.0,0.04133794341821238,0.27258,0.46701,0.58839
184,bm25,0.8,0.0,0.015730959521671858,0.09146,0.16014,0.2014
185,bm25,0.8,0.2,0.04789012206536897,0.33251,0.51469,0.67127
186,bm25,0.8,0.4,0.047918775907849244,0.33243,0.51521,0.67127
187,bm25,0.8,0.6,0.04794742975032952,0.33287,0.51691,0.67207
188,bm25,0.8,0.8,0.047871019503715445,0.33211,0.51747,0.67147
189,bm25,0.8,1.0,0.04758448107891268,0.32961,0.51525,0.66727
190,bm25,0.8,1.2,0.04746031442816482,0.3275,0.51475,0.66306
191,bm25,0.8,1.4,0.04724063496914936,0.32541,0.51369,0.65886
192,bm25,0.8,1.6,0.04698275038682687,0.32231,0.51098,0.65465
193,bm25,0.8,1.8,0.046724865804504384,0.31942,0.50873,0.64965
194,bm25,0.8,2.0,0.04639057097556783,0.31646,0.50646,0.64625
195,bm25,0.8,2.2,0.04623775048233968,0.31467,0.50495,0.64324
196,bm25,0.8,2.4,0.045979865900017194,0.31212,0.50299,0.63904
197,bm25,0.8,2.6,0.04569332747521443,0.30984,0.50111,0.63584
198,bm25,0.8,2.8,0.04542589161206518,0.30794,0.49928,0.63283
199,bm25,0.8,3.0,0.045225314714703244,0.30626,0.49818,0.63043
200,bm25,0.8,4.0,0.04402185333053162,0.29536,0.48908,0.61842
201,bm25,0.8,4.5,0.043506084165886645,0.29073,0.48442,0.61281
202,bm25,0.8,5.0,0.042971212439588145,0.28626,0.48004,0.60621
203,bm25,0.8,5.5,0.04251275095990372,0.28223,0.47618,0.6006
204,bm25,0.8,6.0,0.04207339204187281,0.27832,0.47275,0.5958
205,bm25,0.8,6.5,0.041662686966322186,0.27532,0.46962,0.59239
206,bm25,0.8,7.0,0.04133794341821238,0.27265,0.46704,0.58859
207,bm25,0.9,0.0,0.015730959521671858,0.09146,0.16014,0.2014
208,bm25,0.9,0.2,0.04789012206536897,0.33246,0.51432,0.67127
209,bm25,0.9,0.4,0.047918775907849244,0.33249,0.51503,0.67127
210,bm25,0.9,0.6,0.047956981031156275,0.33293,0.51668,0.67167
211,bm25,0.9,0.8,0.047871019503715445,0.33215,0.5172,0.67187
212,bm25,0.9,1.0,0.04759403235973944,0.3296,0.51501,0.66707
213,bm25,0.9,1.2,0.047469865708991574,0.32764,0.51476,0.66346
214,bm25,0.9,1.4,0.04724063496914936,0.3255,0.51366,0.65926
215,bm25,0.9,1.6,0.046992301667653634,0.32231,0.51091,0.65465
216,bm25,0.9,1.8,0.04670576324285087,0.31942,0.50859,0.64965
217,bm25,0.9,2.0,0.046381019694741066,0.31652,0.50638,0.64625
218,bm25,0.9,2.2,0.04620909663985941,0.31469,0.50485,0.64324
219,bm25,0.9,2.4,0.04596076333836367,0.31224,0.50297,0.63904
220,bm25,0.9,2.6,0.04569332747521443,0.30995,0.5012,0.63524
221,bm25,0.9,2.8,0.045435442892891933,0.30807,0.4993,0.63283
222,bm25,0.9,3.0,0.04519666087222297,0.30619,0.49779,0.63023
223,bm25,0.9,4.0,0.04397409692639783,0.29509,0.48843,0.61842
224,bm25,0.9,4.5,0.043496532885059884,0.29075,0.484,0.61241
225,bm25,0.9,5.0,0.04296166115876139,0.28624,0.47971,0.60561
226,bm25,0.9,5.5,0.04251275095990372,0.28228,0.4759,0.5998
227,bm25,0.9,6.0,0.04202563563773902,0.27812,0.4723,0.5952
228,bm25,0.9,6.5,0.041643584404668664,0.27544,0.46939,0.59159
229,bm25,0.9,7.0,0.04131884085655886,0.27277,0.46667,0.58819
230,bm25,1.0,0.0,0.015730959521671858,0.09146,0.16014,0.2014
231,bm25,1.0,0.2,0.047880570784542206,0.33244,0.51413,0.67127
232,bm25,1.0,0.4,0.04790922462702248,0.33248,0.51485,0.67167
233,bm25,1.0,0.6,0.04794742975032952,0.33286,0.51642,0.67207
234,bm25,1.0,0.8,0.04786146822288869,0.33211,0.51702,0.67167
235,bm25,1.0,1.0,0.047565378517259164,0.32951,0.51469,0.66727
236,bm25,1.0,1.2,0.04745076314733806,0.32756,0.51443,0.66266
237,bm25,1.0,1.4,0.04725018624997612,0.32546,0.51343,0.65906
238,bm25,1.0,1.6,0.04696364782517336,0.32207,0.51029,0.65506
239,bm25,1.0,1.8,0.04671531452367762,0.31937,0.50832,0.64905
240,bm25,1.0,2.0,0.04639057097556783,0.31642,0.50611,0.64605
241,bm25,1.0,2.2,0.04618044279737913,0.31466,0.50451,0.64304
242,bm25,1.0,2.4,0.04592255821505664,0.31202,0.50238,0.63924
243,bm25,1.0,2.6,0.04569332747521443,0.30982,0.50092,0.63524
244,bm25,1.0,2.8,0.0453972377695849,0.30762,0.49845,0.63183
245,bm25,1.0,3.0,0.045177558310569445,0.30596,0.49718,0.62963
246,bm25,1.0,4.0,0.04396454564557107,0.29486,0.48815,0.61742
247,bm25,1.0,4.5,0.04346787904257961,0.29024,0.48345,0.61161
248,bm25,1.0,5.0,0.04296166115876139,0.28577,0.47896,0.60561
249,bm25,1.0,5.5,0.04250319967907697,0.28186,0.47502,0.5996
250,bm25,1.0,6.0,0.042054289480219297,0.27809,0.47178,0.59499
251,bm25,1.0,6.5,0.04161493056218839,0.27501,0.46861,0.59039
252,bm25,1.0,7.0,0.04133794341821238,0.27248,0.46585,0.58679
